Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST007695		phenotype	perceptual and visual search speed and executive function
GCST007696		interaction, phenotype	age, information processing speed
GCST007697		interaction	age
GCST007698		interaction, phenotype	age, perceptual and visual search speed and executive function
GCST007701		biomarker	hdl
GCST007702		biomarker	triglyceride
GCST007705		phenotype	pulse pressure
GCST007706		phenotype	mean arterial pressure
GCST007708		phenotype	worry/vulnerability
GCST007711		phenotype	calcification
GCST007712		phenotype	cortical brain region measurements (area, volume and thickness)
GCST007713		phenotype	frontal fibrosing alopecia
GCST007714		phenotype	non-ischemic
GCST007717		biomarker	urinary sodium to potassium ratio
GCST007718		biomarker	urinary albumin to creatinine ratio
GCST007721		biomarker	urinary potassium to creatinine ratio
GCST007725		biomarker	uric acid
GCST007726		phenotype	seropositive for toxoplasma gondii
GCST007727		background	childhood
GCST007727		stratified	childhood
GCST007729		phenotype	small subcortical
GCST007731		phenotype	postoperative survival time
GCST007732		phenotype	asthma, hay fever or eczema
GCST007733		biomarker	uric acid
GCST007736		background, phenotype	primary biliary cholangitis, seropositive for gp210
GCST007737		background, phenotype	primary biliary cholangitis, seropositive for sp100
GCST007739		phenotype	skin reflectance (melanin index)
GCST007740		phenotype	a* coordinate
GCST007741		phenotype	b* coordinate
GCST007742		phenotype	heterochromicity
GCST007743		phenotype	l* coordinate
GCST007745		background	obesity
GCST007746		background	non-obese
GCST007747		background	lower physical activity
GCST007748		background	higher physical activity
GCST007749		background	more-fat diet
GCST007750		background	less-fat diet
GCST007751		background	obesity
GCST007752		background	non-obese individuals
GCST007753		background	higher physical activity
GCST007754		background	lower physical activity
GCST007755		background	more-fat diet
GCST007756		background	less-fat diet
GCST007757		interaction	body mass index
GCST007758		interaction	physical activity
GCST007759		interaction	saturated fatty acids
GCST007760		biomarker	fasting blood insulin
GCST007762		interaction	body mass index
GCST007763		interaction	bmi
GCST007764		interaction	physical activity
GCST007765		interaction	physical activity
GCST007766		interaction	saturated fatty acids
GCST007767		interaction	saturated fatty acids
GCST007768		background	obesity
GCST007769		biomarker	fasting blood insulin
GCST007770		background	higher physical activity
GCST007771		background	lower physical activity
GCST007772		background	more-fat diet
GCST007773		background	less-fat diet
GCST007774		side effect	drug
GCST007775		pleiotropy	brain volume
GCST007776		pleiotropy	brain volume
GCST007777		phenotype	anorexia nervosa, attention deficit hyperactivity disorder, schizophrenia, autism spectrum disorder, mental or behavioural disorder, bipolar disorder, mood disorder
GCST007778		biomarker	urinary sodium to creatinine ratio
GCST007779		side effect	pandemrix
GCST007780		phenotype	age of onset
GCST007781		pleiotropy	bipolar disorder
GCST007782		pleiotropy	schizophrenia
GCST007796		side effect	cisplatin for testicular cancer
GCST007796		treatment side effect	testicular cancer - cisplatin (tinnitus)
GCST007797		phenotype	childhood vs adult
GCST007799		phenotype	adult onset
GCST007800		phenotype	childhood onset
GCST007801		phenotype	sleep duration
GCST007802		phenotype	sleep duration (variability)
GCST007803		phenotype	sleep efficiency
GCST007804		phenotype	sleep (number of episodes)
GCST007805		phenotype	sleep (time to least active 5 hours)
GCST007806		phenotype	sleep (time to most active 10 hours)
GCST007807		phenotype	sleep (time to midpoint)
GCST007808		phenotype	daytime rest
GCST007809		side effect	carbamazepine or oxcarbazepine for epilepsy
GCST007810		side effect, phenotype	carbamazepine or oxcarbazepine for epilepsy, severe
GCST007811		side effect	carbamazepine for epilepsy
GCST007812		side effect	oxcarbazepine for epilepsy
GCST007813		drug metabolism, background	carbamazepine-10,11-diol to carbamazepine ratio, epilepsy
GCST007814		biomarker	sodium
GCST007816		phenotype	trunk fat mass, trunk lean mass adjusted
GCST007817		phenotype	facial attractiveness (male raters)
GCST007818		phenotype	facial attractiveness (female raters)
GCST007819		phenotype	facial attractiveness (male raters)
GCST007820		phenotype	facial attractiveness (female raters)
GCST007821		phenotype	facial attractiveness (female raters)
GCST007822		phenotype	facial attractiveness (male raters)
GCST007823		phenotype	facial attractiveness (male raters)
GCST007825		pleiotropy	fasting blood glucose
GCST007826		pleiotropy	fasting blood insulin
GCST007827		pleiotropy	hdl cholesterol
GCST007830		phenotype	autoantibody against thyroid peroxidase
GCST007831		phenotype	autoantibody against thyroglobulin
GCST007832		biomarker	urinary albumin to creatinine ratio
GCST007836		biomarker	glycine
GCST007837		biomarker	glycine
GCST007838		biomarker	glycine
GCST007840		biomarker	hdl
GCST007846		phenotype	arterial stiffness
GCST007848		biomarker	ldl
GCST007849		biomarker	triglyceride
GCST007850		biomarker	hdl
GCST007851		phenotype	autoantibodies against thyroid peroxidase and thyroglobulin
GCST007856		pleiotropy	advanced adenoma
GCST007857		biomarker	fasting blood insulin, bmi adjusted
GCST007858			bmi adjusted
GCST007859		phenotype	rapid automised naming and rapid alternating stimulus test performance
GCST007860		phenotype	latent naming speed
GCST007861		phenotype	latent naming speed
GCST007862		phenotype	latent naming speed
GCST007863		phenotype	rapid alternating stimulus test for letters/numbers
GCST007864		phenotype	rapid automised naming of letters
GCST007865		phenotype	rapid automised naming of objects
GCST007876		biomarker	glomerular filtration rate
GCST007877		biomarker	creatinine
GCST007878		biomarker	urea
GCST007880		background	attention deficit hyperactivity disorder
GCST007896		phenotype	lymphoma
GCST007897		side effect	anti-tuberculosis drug treatment
GCST007898		biomarker	fasting blood insulin
GCST007900		biomarker	chemerin
GCST007917		biomarker	glomerular filtration rate
GCST007918		biomarker	uric acid
GCST007919		biomarker	creatinine
GCST007921		phenotype	right-sided
GCST007922		response	peptic ulcer and gastro-oesophageal reflux disease agents
GCST007923		response	diabetes agents
GCST007924		response	antithrombotic agents
GCST007925		response	vasodilator agents
GCST007926		response	antihypertensive agents
GCST007927		response	beta blocking agents
GCST007928		response	diuretic agents
GCST007929		response	calcium channel blocker agents
GCST007930		response	renin-angiotensin system agents
GCST007931		response	hmg coa reductase inhibitor agents
GCST007932		response	thyroid agents
GCST007933		response	immunosuppressant agents
GCST007934		response	use of anti-inflammatory and antirheumatic products, non-steroids
GCST007935		response	bone structure and mineralization agents
GCST007936		response	opioid agents
GCST007937		phenotype	aspirin use
GCST007938		response	anilide agents
GCST007939		response	antimigraine agents
GCST007940		response	antidepressant use
GCST007941		response	adrenergics, inhalant agents
GCST007942		response	glucocorticoid agents
GCST007943		response	antihistamine agents
GCST007944		response	antiglaucoma preparations and miotic agents
GCST007945		background, phenotype	high deployment stress exposure, resilience
GCST007946		phenotype	resilience
GCST007947		phenotype	resilience
GCST007948		biomarker	prnp (kanno antigen negativity)
GCST007949		background	type 2 diabetes
GCST007950		background	apol1 risk genotype negative t2d individuals
GCST007951		biomarker	glycated hemoglobin levels
GCST007952		biomarker	glycated hemoglobin levels
GCST007953		biomarker	glycated hemoglobin levels
GCST007954		biomarker	glycated hemoglobin levels
GCST007955		biomarker	ldl and triglyceride
GCST007956		phenotype	maternal
GCST007976		background	cardiac surgery
GCST007977		side effect	cardiac surgery
GCST007978		side effect	cardiac surgery
GCST007979		side effect	cardiac surgery
GCST007980		background	cardiac surgery
GCST007981		background	cardiac surgery
GCST007982		phenotype	sleep duration
GCST007983		phenotype	morning person
GCST007984		phenotype	excessive daytime sleepiness
GCST007986		phenotype	morning person
GCST007987		phenotype	daytime rest
GCST007989		phenotype	facial morphology
GCST007991		phenotype	large artery
GCST007993		phenotype	adult onset
GCST007994		phenotype	age of onset
GCST007995		phenotype	childhood onset
GCST007997		interaction, phenotype	snp x snp, exterme
GCST007999		phenotype	heart rate with reduced ejection fraction
GCST008017		background, phenotype	obesity with metabolic syndrome, bitter
GCST008018		phenotype	obesity with metabolic syndrome, sweet
GCST008019		background, phenotype	obesity with metabolic syndrome, bitter
GCST008020		phenotype	obesity with metabolic syndrome, total
GCST008021		phenotype	obesity with metabolic syndrome, total
GCST008022		phenotype	obesity with metabolic syndrome, umami
GCST008023		phenotype	obesity with metabolic syndrome, sour
GCST008024		phenotype	obesity with metabolic syndrome, salty
GCST008027		phenotype	cigarettes smoked per day
GCST008028		phenotype	cups of coffee per day
GCST008030		biomarker	glomerular filtration rate
GCST008033		biomarker	fasting blood insulin
GCST008034		biomarker	glycated hemoglobin levels
GCST008035		biomarker	hdl
GCST008037		biomarker	ldl
GCST008038		phenotype	mean corpuscular hemoglobin concentration
GCST008042		phenotype	pr interval
GCST008043		phenotype	qt interval
GCST008045		biomarker	total cholesterol
GCST008046		biomarker	triglyceride
GCST008054		phenotype	qrs duration
GCST008055		biomarker	c-reactive protein
GCST008056		interaction	snp x snp
GCST008058		biomarker	glomerular filtration rate
GCST008059		biomarker	glomerular filtration rate
GCST008060		biomarker	glomerular filtration rate
GCST008061		biomarker	glomerular filtration rate
GCST008062		biomarker	blood urea nitrogen levels
GCST008063		biomarker	blood urea nitrogen levels
GCST008066		biomarker	glomerular filtration rate
GCST008067		phenotype	pemphigus foliaceus
GCST008068		phenotype	pemphigus vulgaris
GCST008070		biomarker	hdl
GCST008071		interaction, biomarker	alcohol consumption, triglyceride
GCST008072		interaction, biomarker	alcohol consumption, hdl
GCST008073		interaction, biomarker	alcohol consumption, ldl
GCST008074		interaction, biomarker	alcohol consumption, triglyceride
GCST008075		interaction, biomarker	alcohol consumption, hdl
GCST008076		biomarker	triglyceride
GCST008077		biomarker	ldl
GCST008078		interaction, biomarker	alcohol consumption, ldl
GCST008079		interaction, biomarker	alcohol consumption, ldl
GCST008080		interaction, biomarker	alcohol consumption, triglyceride
GCST008081		interaction, biomarker	alcohol consumption (1df), hdl
GCST008082		interaction, biomarker	alcohol consumption, ldl
GCST008083		interaction, biomarker	alcohol consumption, triglyceride
GCST008084		interaction, biomarker	alcohol consumption (2df), hdl
GCST008085		background, biomarker	current drinkers, hdl
GCST008086		interaction, biomarker	current drinkers, ldl
GCST008087		interaction, biomarker	current drinkers, triglyceride
GCST008097		side effect	bisphosphonate
GCST008098		side effect	bisphosphonate
GCST008099		interaction, phenotype	omega-3 pufa (docosahexaenoic acid), fvc
GCST008100		interaction, phenotype	omega-3 pufa (docosapentaenoic acid), fvc
GCST008101		interaction, phenotype	omega-3 pufa (docosapentaenoic acid), fev1
GCST008102		interaction, phenotype	omega-3 pufa (docosahexaenoic acid), fev1
GCST008104		biomarker	nucleoside diphosphate kinase a
GCST008107		phenotype	refractory to radioiodine
GCST008108		biomarker	n-glycan
GCST008109		biomarker	insulin
GCST008110		phenotype	insulinogenic index
GCST008112		biomarker	insulin
GCST008113		biomarker	insulin
GCST008115		phenotype	bipolar i
GCST008116		phenotype	bipolar ii
GCST008117		phenotype	bipolar type
GCST008118		background	major depressive disorder
GCST008119		background	bipolar disorder
GCST008120		background	schizophrenia
GCST008121		background	major depressive disorder or bipolar disorder
GCST008122		background	schizophrenia or bipolar disorder
GCST008123		background	major depressive disorder or bipolar disorder or schizophrenia
GCST008138		interaction	sex
GCST008141		biomarker	hdl
GCST008147		response, biomarker	allopurinol, uric acid
GCST008148		response, biomarker	allopurinol, uric acid
GCST008149		phenotype	age at menopause
GCST008150		biomarker	triglyceride
GCST008153		phenotype	lean body mass
GCST008156		phenotype	hip circumference, bmi adjusted
GCST008159			bmi adjusted
GCST008161			bmi adjusted
GCST008162		phenotype	hip circumference
GCST008164		biomarker	thyroxine
GCST008165		biomarker	tshb
GCST008166		phenotype	mean corpuscular volume
GCST008167		phenotype	mean platelet volume
GCST008170		biomarker	tg (thyroglobulin)
GCST008171		phenotype	platelet aggregation
GCST008172		biomarker	liver iron
GCST008173		biomarker	gpt
GCST008174		biomarker	aspartate aminotransferase
GCST008175		biomarker	gamma-glutamyl transferase
GCST008177		phenotype	spontaneous
GCST008178		phenotype	early spontaneous
GCST008179		phenotype	moderate-to-late spontaneous
GCST008180		phenotype	spontaneous preterm birth with premature rupture of membranes
GCST008181		phenotype	spontaneous without premature rupture of membranes
GCST008196		biomarker	vcam1
GCST008197		biomarker	interleukin 8
GCST008198		biomarker	vegfa
GCST008199		biomarker	cxcl10
GCST008200		biomarker	interleukin-6
GCST008201		biomarker	interleukin 4
GCST008202		biomarker	e-selectin
GCST008203		biomarker	interleukin 1 receptor antagonist
GCST008204		biomarker	ccl2
GCST008205		biomarker	interleukin 17
GCST008206		biomarker	plasminogen activator inhibitor 1
GCST008207		biomarker	interleukin 1 alpha
GCST008208		biomarker	cd40lg (cd40 ligand) soluble
GCST008209		biomarker	interleukin-1 beta
GCST008210		biomarker	icam-1
GCST008211		biomarker	tnf
GCST008216		phenotype	tumour size
GCST008217		phenotype	age at diagnosis
GCST008218		phenotype	age at diagnosis (< 70 years vs ≥ 70 years)
GCST008219		phenotype	tumour size (< 3 cm vs ≥ 3 cm)
GCST008220		phenotype	tumour stage (tis/t1 vs ta)
GCST008221		phenotype	tumour grade (g3 vs g2/g1)
GCST008222		phenotype	eortc risk category
GCST008223		background	type 2 diabetes
GCST008224		interaction	sex
GCST008228		phenotype	control
GCST008229		interaction	inhaled corticosteroid (1df)
GCST008230		interaction	inhaled corticosteroid (2df)
GCST008232		pleiotropy, biomarker	total cholesterol
GCST008233		pleiotropy, biomarker	ldl
GCST008234		pleiotropy	c-reactive protein
GCST008236		biomarker	c-reactive protein
GCST008237		biomarker	hdl
GCST008238		biomarker	ldl
GCST008239		biomarker	total cholesterol
GCST008240		background, phenotype	never smokers, airflow obstruction (fev1/fvc<70%)
GCST008241		background, phenotype	never smokers, airflow obstruction (fev1/fvc<lower limit of normal)
GCST008242		background, phenotype	ever smokers, airflow obstruction (fev1/fvc<lower limit of normal)
GCST008243		background, phenotype	ever smokers, airflow obstruction (fev1/fvc<70%)
GCST008244		background, phenotype	never smokers, airflow obstruction (fev1/fvc<70%)
GCST008245		background, phenotype	ever smokers, airflow obstruction (fev1/fvc<lower limit of normal)
GCST008246		background, phenotype	never smokers, airflow obstruction (fev1/fvc<lower limit of normal)
GCST008247		background, phenotype	ever smokers, airflow obstruction (fev1/fvc<70%)
GCST008258		phenotype	consumption score
GCST008260		background, biomarker	elevated hscrp, phospholipase a2, membrane associated, c-reactive protein
GCST008261		phenotype	psychological wellbeing (depressiveness)
GCST008262		phenotype	psychological wellbeing index 1 (lack of subjective wellbeing and health)
GCST008263		phenotype	psychological wellbeing index 3 (fatigue and loss of appetite)
GCST008264		phenotype	psychological wellbeing index 12 (lack of enjoying daily life)
GCST008265		phenotype	psychological wellbeing (social role performance and self-confidence)
GCST008266		phenotype	psychological wellbeing (health and vitality)
GCST008267		phenotype	psychological wellbeing index (total score)
GCST008268		side effect	mepolizumab for chronic obstructive pulmonary disease, exacerbation requiring hospitalisation
GCST008269		side effect	mepolizumab for chronic obstructive pulmonary disease, exacerbation
GCST008270		background	trauma-exposed soldiers
GCST008271		side effect	adalimumab for crohn's disease
GCST008272		interaction, background	air pollution (co) in childhood asthma
GCST008273		interaction, background	air pollution (no2) in childhood asthma
GCST008274		phenotype	cerebral microbleed progression
GCST008275		phenotype	cerebral microbleeds
GCST008276		phenotype	corneal resistance factor
GCST008277		phenotype	corneal hysteresis
GCST008278		phenotype	femoral neck size
GCST008279		phenotype	bone size (femur)
GCST008280		phenotype	intertrochanteric region size
GCST008281		phenotype	bone size (hip)
GCST008282		phenotype	bone size (spine)
GCST008283		phenotype	symptom count
GCST008285		phenotype	tolerance
GCST008286		phenotype	withdrawal
GCST008287		phenotype	drinking more than intended
GCST008288		phenotype	desire to cut drinking
GCST008289		phenotype	giving up activities
GCST008290		phenotype	time spent drinking
GCST008291		phenotype	drinking despite problems
GCST008292		response, phenotype	fluticasone propionate/salmeterol, change in quality of life
GCST008293		response, phenotype	fluticasone propionate/salmeterol, trough fev1
GCST008294		response	fluticasone propionate/salmeterol
GCST008295		phenotype	number of decayed, missing and filled tooth surfaces or use of dentures
GCST008296		phenotype	loose teeth
GCST008297		phenotype	loose teeth
GCST008298		phenotype	number of natural teeth
GCST008299		phenotype	decayed and filled tooth surfaces per available tooth surface
GCST008301		phenotype	bleeding gums
GCST008302		phenotype	number of decayed, missing and filled tooth surfaces
GCST008303		phenotype	painful gums
GCST008306		phenotype	dentate gyrus volume
GCST008307		response	belimumab
GCST008308		phenotype	infection persistence (>18 months) in genital human papillomavirus 16 infection
GCST008309		biomarker	cardiac troponin-i
GCST008310		biomarker	cardiac troponin-t
GCST008311		phenotype	sporadic
GCST008312		phenotype	sural nerve amplitude potential
GCST008313		phenotype	sural nerve conduction velocity
GCST008314		response	intravenous immunoglobulin
GCST008315		phenotype	corneal hysteresis
GCST008316		phenotype	corneal endothelial cell size variation coefficient
GCST008317		phenotype	central corneal thickness
GCST008318		phenotype	corneal resistance factor
GCST008319		phenotype	corneal compensated
GCST008320		phenotype	goldman correlated
GCST008321		phenotype	corneal endothelial cell shape (percentage of hexagonally shaped cells)
GCST008324		biomarker	hemoglobin
GCST008327		phenotype	monocyte count
GCST008330		phenotype	mean corpuscular volume
GCST008331		phenotype	mean corpuscular hemoglobin
GCST008332		phenotype	mean corpuscular hemoglobin concentration
GCST008333		phenotype	red blood cell distribution width
GCST008334		phenotype	neutrophil count
GCST008335		phenotype	eosinophil count
GCST008336		phenotype	mean platelet volume
GCST008337		phenotype	multiple
GCST008338		phenotype	multiple
GCST008339		phenotype	corneal endothelial cell density
GCST008356		phenotype	geographic atrophy lesion growth rate
GCST008357		phenotype	mood instability
GCST008358		response, phenotype	cognitive-behavioural therapy, anxiety and major depressive disorders
GCST008359		response	cognitive-behavioural therapy
GCST008360		response	cognitive-behavioural therapy
GCST008361		response	cognitive-behavioural therapy
GCST008363		phenotype	offspring birth weight
GCST008364		pleiotropy	graves disease
GCST008365		pleiotropy	graves disease
GCST008367		phenotype	autoantibodies against thyroid peroxidase and thyroglobulin
GCST008368		phenotype	autoantibody against thyroid peroxidase
GCST008369		biomarker	autoantibody against thyroglobulin
GCST008374		response, background	warfarin maintenance dose, clinical factors adjusted
GCST008375		background	never smokers
GCST008376		background	never smokers
GCST008378		side effect	radiotherapy for prostate cancer, decreased urine stream
GCST008379		response, biomarker	radiotherapy in prostate cancer (overall toxicity)
GCST008380		side effect	radiotherapy for prostate cancer
GCST008381		side effect	radiotherapy for prostate cancer
GCST008382		side effect, phenotype	radiotherapy for prostate cancer, increased urinary frequency
GCST008383		side effect	carbamazepine
GCST008384		side effect	carbamazepine
GCST008385		side effect	carbamazepine
GCST008386		side effect, phenotype	carbamazepine, severe cutaneous adverse reaction
GCST008387		background	schizophrenia
GCST008388		side effect, phenotype	radiotherapy for breast cancer, acute pain
GCST008389		interaction	physical activity
GCST008390		interaction	physical activity
GCST008392		interaction	physical activity interaction
GCST008393		interaction	physical activity interaction
GCST008396		phenotype	years of education
GCST008397		response, phenotype	infliximab, mucosal healing
GCST008398		biomarker	glycated hemoglobin levels
GCST008400		interaction	physical activity (least vs most active quartile)
GCST008401		interaction	physical activity (less vs more active half)
GCST008402		interaction	physical activity (least vs most active quartile)
GCST008403		phenotype	arterial stiffness index
GCST008404		interaction	physical activity (least active quartile vs others)
GCST008405		interaction	physical activity
GCST008406		interaction	physical activity
GCST008407		interaction	physical activity
GCST008408		interaction	physical activity (less vs more active half)
GCST008409		interaction	physical activity (least active quartile vs others)
GCST008410		interaction	physical activity
GCST008411		interaction	physical activity
GCST008412		interaction	physical activity
GCST008413		biomarker	core binding factor
GCST008415		background	cannibis use
GCST008416		phenotype	attention deficit hyperactivity disorder, unipolar depression, schizophrenia, autism spectrum disorder, bipolar disorder
GCST008417		phenotype	attention deficit hyperactivity disorder, unipolar depression, schizophrenia, autism spectrum disorder, bipolar disorder
GCST008418		phenotype	mean corpuscular hemoglobin concentration
GCST008420		phenotype	mean corpuscular volume
GCST008421		phenotype	monocyte count
GCST008422		phenotype	qrs duration
GCST008423		phenotype	uterine fibroid
GCST008424		phenotype	opioid dependence
GCST008425		phenotype	neutrophil count
GCST008428		phenotype	eosinophil count
GCST008429		biomarker	hemoglobin
GCST008432		phenotype	mean corpuscular hemoglobin
GCST008433		phenotype, biomarker	percutaneous coronary intervention, lipoprotein a
GCST008435		response, biomarker	hepatitis b vaccine, anti-virus surface antigen igg levels
GCST008436		phenotype	non-obstructive
GCST008437		background	hypertension-negative
GCST008438		background	hypertension
GCST008444		biomarker	hdl
GCST008445		biomarker	uric acid
GCST008446		phenotype	alcohol sensitivity (first 5 occasions)
GCST008447		phenotype	alcohol sensitivity (long term)
GCST008456	C536404	phenotype	childhood steroid-sensitive nephrotic syndrome
GCST008457		phenotype	platelet reactivity (collagen-adp)
GCST008458		phenotype	platelet reactivity (collagen-adp)
GCST008460		phenotype	gout vs. hyperuricemia
GCST008461		background, biomarker	coagulation factor v, venous thromboembolism
GCST008462		biomarker	coagulation factor v, venous thromboembolism
GCST008466		biomarker	gpt
GCST008467		background, biomarker	aspartate aminotransferase levels in non-alcoholic fatty liver disease
GCST008469		background	non-alcoholic fatty acid liver disease
GCST008470		interaction	snp x snp
GCST008471		phenotype	disease activity score
GCST008472	C531617	phenotype	sporadic
GCST008473		phenotype	visceral adipose tissue
GCST008475		phenotype	ankle brachial index
GCST008476		background	smokers
GCST008477		background	smokers, bmi adjusted
GCST008478		biomarker	neurological blood protein biomarker levels
GCST008480		phenotype	fev1
GCST008481		phenotype	fev1/fec ratio
GCST008482		phenotype	fvc
GCST008484		phenotype	social and communication disorders checklist score
GCST008487		phenotype	coffee consumption
GCST008488		phenotype	early progression
GCST008490		phenotype	re-experiencing symptoms
GCST008491		background	alzheimer's disease
GCST008492		side effect, phenotype	general, severe cutaneous adverse reaction
GCST008493		phenotype	survival time
GCST008496		phenotype	nicotine dependence
GCST008497		phenotype	change in neurofilament light levels
GCST008498		response, biomarker	meningococcal c vaccine, igg levels
GCST008499		response, biomarker	meningococcal c vaccine, anti-meningococcal c antibody levels
GCST008500		response, biomarker	tetanus vaccine, tetanus toxoid igg levels
GCST008501		response, biomarker	haemophilus influenzae type b vaccine, hib polyribosylribitol phosphate igg concentrations post childhood
GCST008502		phenotype	low susceptibility
GCST008506		interaction	major depressive disorder
GCST008507		interaction	major depressive disorder
GCST008508		interaction	major depressive disorder
GCST008513		phenotype	health literacy
GCST008514		response	peginterferon alfa-2a
GCST008515		background	pre-treatment viral load in hepatitis c virus genotype 3
GCST008516		background	conditioned on rs1426654 and rs35397
GCST008517		response	interferon treatment in hepatitis c virus genotype 3
GCST008520		response	direct-acting antiviral treatment in hepatitis c virus genotype 3
GCST008521		phenotype	bitter beverage consumption
GCST008522		phenotype	bitter alcoholic beverage consumption
GCST008523		phenotype	non-grapefruit juice consumption
GCST008524		phenotype	bitter non-alcoholic beverage consumption
GCST008525		phenotype	artificially sweetened beverage consumption
GCST008526		phenotype	coffee consumption
GCST008527		phenotype	sugar-sweetened beverage consumption
GCST008528		phenotype	sweet beverage consumption
GCST008529		phenotype	tea consumption
GCST008530		phenotype	neuropathy
GCST008531		phenotype	grapefruit juice consumption
GCST008532		phenotype	burning or tingling in extremities
GCST008533		phenotype	decreased fine motor function (eating with utensils)
GCST008534		background	charcot-marie-tooth disease 1a
GCST008535		phenotype	arthritic-like pain
GCST008536		phenotype	scoliosis
GCST008537		phenotype	decreased sensory function
GCST008538		phenotype	balance difficulty
GCST008539		phenotype	foot plantar flexion strength
GCST008540		phenotype	decreased fine motor function (buttons, zippers, fasteners, bottles)
GCST008541		phenotype	foot deformity
GCST008542		phenotype	first dorsal interosseous strength
GCST008543		background	charcot-marie-tooth disease 1a
GCST008544		phenotype	reduced foot dorsiflexion strength
GCST008545		background, phenotype	type 2 diabetes, decreased visual acuity
GCST008546		background	type 2 diabetes
GCST008547		phenotype	time of initiation
GCST008548		phenotype	nicotine dependence
GCST008549		phenotype	mental health study participation (provided email address)
GCST008550		phenotype	mental health study participation (completed survey)
GCST008551		side effect	simvastatin
GCST008552		side effect	statin
GCST008553		side effect	statin
GCST008554		side effect	atorvastatin
GCST008555		phenotype	breakfast cereal skipping frequency
GCST008556		phenotype	breakfast skipping
GCST008557		interaction	dentate gyrus volume
GCST008560		phenotype	propensity-score-matching design
GCST008561		phenotype	psychiatric co-morbidity covariate model
GCST008562		phenotype	psychiatric co-morbidity weighting design
GCST008563		phenotype	including obsessive-compulsive disorder
GCST008564		phenotype	excluding co-morbid schizophrenia
GCST008565		phenotype	excluding adjustment disorder
GCST008568		biomarker	iga
GCST008569		biomarker	composite immunoglobulin trait (iga x igg x igm)
GCST008570		phenotype	iga x igg/igm
GCST008571		phenotype	iga x igg
GCST008572		phenotype	iga/igg
GCST008573		phenotype	iga/igm
GCST008574		phenotype	igg/igm
GCST008575		biomarker	igm
GCST008576		biomarker	igg
GCST008577		background, biomarker	kidney transplantation, tacrolimus trough concentration
GCST008578		side effect	calcineurin inhibitor for kidney transplant
GCST008579		side effect	mycophenolic acid for kidney transplant
GCST008580		side effect	mycophenolic acid for kidney transplant patients (time to event)
GCST008581		side effect	cyclosporine for kidney transplant
GCST008582		side effect	tacrolimus for kidney transplant
GCST008583		interaction, phenotype	major depressive disorder, processing speed
GCST008584		interaction	major depressive disorder
GCST008585		interaction	major depressive disorder
GCST008586		interaction, phenotype	major depressive disorder, processing speed
GCST008589		background	major depressive disorder, processing speed
GCST008590		phenotype	information processing speed
GCST008591		biomarker	triglyceride
GCST008592		biomarker	hdl
GCST008593		biomarker	ldl
GCST008594		biomarker	total cholesterol
GCST008595		pleiotropy	years of educational attainment or schizophrenia
GCST008596		phenotype	opioid overdose severity score
GCST008597		phenotype	fish consumption
GCST008598		phenotype	age >90th survival percentile
GCST008599		phenotype	age >99th survival percentile
GCST008600		phenotype	age >90th survival percentile
GCST008601		phenotype	age >99th survival percentile
GCST008602		phenotype	heel bmd
GCST008604		biomarker	urine specific gravity
GCST008605		phenotype	moderate to severe
GCST008606		phenotype	mild
GCST008608		phenotype	moderate to severe
GCST008609		phenotype	mild
GCST008611		phenotype	moderate to severe
GCST008612		phenotype	mild
GCST008615		biomarker	urinary ph
GCST008616		biomarker	urinary ph
GCST008617		phenotype	moderate to severe
GCST008618		phenotype	mild
GCST008619		biomarker	leukocyte esterase, nitrite
GCST008636		biomarker	cd3-positive t-lymphocyte count
GCST008637		biomarker	cd4-positive t-lymphocyte count
GCST008638		biomarker	cd8-positive t-lymphocyte count
GCST008639		biomarker	cd19-positive b-lymphocyte count
GCST008640		biomarker	cd56-positive nk-lymphocyte cell count
GCST008641		biomarker	c-peptide
GCST008642		biomarker	cerebrospinal fluid ab1-42 levels
GCST008643		phenotype	joint damage
GCST008644		phenotype	celiac disease
GCST008645		phenotype	alcohol dependence or heroin dependence or methamphetamine dependence
GCST008647		biomarker	urinary sodium
GCST008648		biomarker	potassium excretion
GCST008659		background, phenotype	heavy smokers, low fev1 vs high fev1
GCST008660		background, phenotype	never smokers, high fev1 vs average fev1
GCST008661		background, phenotype	heavy smokers, high fev1 vs average fev1
GCST008662		background, phenotype	never smokers, low fev1 vs high fev1
GCST008663		background, phenotype	never smokers, low fev1 vs average fev1
GCST008664		phenotype	fev1, low vs. high
GCST008665		background, phenotype	heavy smokers, low fev1 vs average fev1
GCST008666		interaction, phenotype	smoking status, low fev1 vs high fev1
GCST008667		phenotype	heavy vs never
GCST008669		interaction	occupational exposure
GCST008670		interaction	occupational exposure
GCST008671		interaction	occupational exposure
GCST008672		phenotype	knee pain
GCST008673		biomarker	various
GCST008674		pleiotropy	fasting blood glucose measurement, homa-b, fasting blood insulin measurement
GCST008676		biomarker	ldl
GCST008677		interaction, biomarker	smoking status (current vs non), hdl
GCST008678		interaction, biomarker	smoking status (current vs non), hdl
GCST008679		background, biomarker	current smokers, hdl
GCST008680		background, biomarker	non smokers, hdl
GCST008681		interaction, biomarker	smoking status (ever vs never), hdl
GCST008682		interaction, biomarker	smoking status (ever vs never), hdl
GCST008683		background, biomarker	ever smokers, hdl
GCST008684		background, biomarker	never smokers, hdl
GCST008685		biomarker	hdl
